prefecture,source_page,depth,pdf_url,anchor_text,filename,years
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yh3005-byougaityuuyohoumikata.pdf,予報の見方（PDF：132キロバイト）,yh3005-byougaityuuyohoumikata.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0708.pdf,令和7年8月号（PDF：425キロバイト）,yr0708.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0710tyuuihour07-1.pdf,水稲（斑点米カメムシ類）（PDF：314キロバイト）,0710tyuuihour07-1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/sokuhour7-2.pdf,コムギ（赤かび病）（PDF：122キロバイト）,sokuhour7-2.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/tokusyur7-1.pdf,メロン（CABYVによる病害）（PDF：235キロバイト）,tokusyur7-1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_ootabakoga.pdf,オオタバコガ（PDF：321キロバイト）,0808_ootabakoga.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_hasumon.pdf,ハスモンヨトウ（PDF：267キロバイト）,0808_hasumon.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_nashihime.pdf,ナシヒメシンクイ（PDF：258キロバイト）,0808_nashihime.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_chabane.pdf,チャバネアオカメムシ（PDF：146キロバイト）,0808_chabane.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_himetobi.pdf,ヒメトビウンカ（PDF：139キロバイト）,0808_himetobi.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_inekame.pdf,イネカメムシ（PDF：149キロバイト）,0808_inekame.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/r07_blastam_setumei.pdf,BLASTAMデータの見方（PDF：50キロバイト）,r07_blastam_setumei.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#pheromone,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0804_blastam.pdf,令和7年8月4日（PDF：82キロバイト）,0804_blastam.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yh3005-byougaityuuyohoumikata.pdf,予報の見方（PDF：132キロバイト）,yh3005-byougaityuuyohoumikata.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0708.pdf,令和7年8月号（PDF：425キロバイト）,yr0708.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0710tyuuihour07-1.pdf,水稲（斑点米カメムシ類）（PDF：314キロバイト）,0710tyuuihour07-1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/sokuhour7-2.pdf,コムギ（赤かび病）（PDF：122キロバイト）,sokuhour7-2.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/tokusyur7-1.pdf,メロン（CABYVによる病害）（PDF：235キロバイト）,tokusyur7-1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_ootabakoga.pdf,オオタバコガ（PDF：321キロバイト）,0808_ootabakoga.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_hasumon.pdf,ハスモンヨトウ（PDF：267キロバイト）,0808_hasumon.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_nashihime.pdf,ナシヒメシンクイ（PDF：258キロバイト）,0808_nashihime.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_chabane.pdf,チャバネアオカメムシ（PDF：146キロバイト）,0808_chabane.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_himetobi.pdf,ヒメトビウンカ（PDF：139キロバイト）,0808_himetobi.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_inekame.pdf,イネカメムシ（PDF：149キロバイト）,0808_inekame.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/r07_blastam_setumei.pdf,BLASTAMデータの見方（PDF：50キロバイト）,r07_blastam_setumei.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html#BLASTAM_deta,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0804_blastam.pdf,令和7年8月4日（PDF：82キロバイト）,0804_blastam.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yh3005-byougaityuuyohoumikata.pdf,予報の見方（PDF：132キロバイト）,yh3005-byougaityuuyohoumikata.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0708.pdf,令和7年8月号（PDF：425キロバイト）,yr0708.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0710tyuuihour07-1.pdf,水稲（斑点米カメムシ類）（PDF：314キロバイト）,0710tyuuihour07-1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/sokuhour7-2.pdf,コムギ（赤かび病）（PDF：122キロバイト）,sokuhour7-2.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/tokusyur7-1.pdf,メロン（CABYVによる病害）（PDF：235キロバイト）,tokusyur7-1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_ootabakoga.pdf,オオタバコガ（PDF：321キロバイト）,0808_ootabakoga.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_hasumon.pdf,ハスモンヨトウ（PDF：267キロバイト）,0808_hasumon.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_nashihime.pdf,ナシヒメシンクイ（PDF：258キロバイト）,0808_nashihime.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_chabane.pdf,チャバネアオカメムシ（PDF：146キロバイト）,0808_chabane.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_himetobi.pdf,ヒメトビウンカ（PDF：139キロバイト）,0808_himetobi.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0808_inekame.pdf,イネカメムシ（PDF：149キロバイト）,0808_inekame.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/r07_blastam_setumei.pdf,BLASTAMデータの見方（PDF：50キロバイト）,r07_blastam_setumei.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0804_blastam.pdf,令和7年8月4日（PDF：82キロバイト）,0804_blastam.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/acephate_1.pdf,アセフェート粒剤（オルトラン粒剤他）（PDF：127KB）,acephate_1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/acephate_2.pdf,アセフェート粒剤（家庭園芸用オルトラン粒剤他）（PDF：304KB）,acephate_2.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/prothiofos_1.pdf,プロチオホス乳剤（トクチオン乳剤）（PDF：143KB）,prothiofos_1.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/prothiofos_2.pdf,プロチオホス粉粒剤（トクチオン細粒剤F）（PDF：134KB）,prothiofos_2.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/cartap.pdf,カルタップ水溶剤（パダンSG水溶剤他）（PDF：136KB）,cartap.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/kresoxim-methyl.pdf,クレソキシムメチル水和剤（ストロビーフロアブル他）（PDF：137KB）,kresoxim-methyl.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/etobenzanide.pdf,エトベンザニド水和剤（グリーンビルフロアブル、アビシェムフロアブル）（PDF：89KB）,etobenzanide.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/dairon.pdf,DCMU水和剤（ダイロン他）（PDF：145KB）,dairon.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/machin_oil95.pdf,マシン油乳剤（機械油乳剤95他）（PDF：141KB）,machin_oil95.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/maitokurin.pdf,ピリミジフェン水和剤（マイトクリーン）（PDF：148KB）,maitokurin.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/padansuiyouzai.pdf,カルタップ水溶剤（パダン水溶剤）（PDF：130KB）,padansuiyouzai.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/botaniguardes.pdf,ボーベリア　バシアーナ乳剤（ボタニガードES）（PDF：132KB）,botaniguardes.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/marubouzu_nekosogidx.pdf,ブロマシル・MCPP粒剤（まるぼうず、ネコソギトップDX）（PDF：96KB）,marubouzu_nekosogidx.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/baide-tolryuuzai.pdf,オキサミル粒剤（バイデートL粒剤）（PDF：90KB）,baide-tolryuuzai.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/ariettecsuiwazai.pdf,キャプタン・ホセチル水和剤（アリエッティC水和剤）（PDF：90KB）,ariettecsuiwazai.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/tankibakuroniyoru20henkounituite.pdf,短期暴露評価による農薬の登録変更（PDF：106キロバイト）,tankibakuroniyoru20henkounituite.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/nouyakukannrenn.html,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/noyaku/documents/arfd20tadatini20h270302.pdf,ただちに使用方法を変更する必要がある農薬一覧（PDF：112キロバイト）,arfd20tadatini20h270302.pdf,
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0708.pdf,8月号（PDF:425キロバイト）,yr0708.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0707.pdf,7月号（PDF:505キロバイト）,yr0707.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0706.pdf,6月号（PDF:324キロバイト）,yr0706.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0705.pdf,5月号（PDF:379キロバイト）,yr0705.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/0710tyuuihour07-1.pdf,第1号（314キロバイト）,0710tyuuihour07-1.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/sokuhour7-2.pdf,No.2（PDF：122キロバイト）,sokuhour7-2.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/sokuhour7-1.pdf,No.1（PDF：124キロバイト）,sokuhour7-1.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujyohor7.html#H29sokuhou,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/tokusyur7-1.pdf,No.1（PDF：235キロバイト）,tokusyur7-1.pdf,2025
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho6.html#H29tokusyuho,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0704.pdf,4月号（PDF：283キロバイト）,yr0704.pdf,2024
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/yosatsujoho6.html#H29tokusyuho,1,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou/yosatsujoho/documents/yr0703.pdf,3月号（PDF：186キロバイト）,yr0703.pdf,2024
